n_fire_pixels,mean_temp_fire,max_temp_fire,mean_power_fire,sum_power_fire,mean_area_fire,sum_area_fire,time_coverage_start,time_coverage_end,mean_confidence,max_confidence
2005.0,631.1344,788.5996,324.17596,4538.4634,55150.676,551378.25,2025-01-01T23:40:20.660811008,2025-01-01T23:49:51.462528000,0.9,1.0
2593.0,675.25214,1090.5302,415.39493,4984.739,51124.688,562634.9,2025-01-01T23:50:20.662543104,2025-01-01T23:59:51.463830016,0.91,1.0
2076.0,833.9603,1366.366,239.16739,1913.339,39966.277,159851.81,2025-01-02T00:00:20.662489984,2025-01-02T00:09:51.467972992,0.95,1.0
1882.0,964.5262,2560.6794,358.38724,3942.2598,62531.39,315448.1,2025-01-02T00:10:20.662423040,2025-01-02T00:19:51.462172032,0.93,1.0
1865.0,967.2219,1461.79,612.3088,3673.8525,94111.91,282385.34,2025-01-02T00:20:20.664141952,2025-01-02T00:29:51.469740928,0.94,1.0
1504.0,883.8184,1650.9084,407.53745,4075.3743,41120.105,206903.7,2025-01-02T00:30:20.664076032,2025-01-02T00:39:51.469956096,0.95,1.0
1094.0,879.95013,1351.2373,513.0565,4104.4526,67076.5,268274.25,2025-01-02T00:40:20.664009984,2025-01-02T00:49:51.465149952,0.93,1.0
954.0,806.67285,1083.1882,496.54776,3475.8342,78307.68,313155.56,2025-01-02T00:50:20.665716992,2025-01-02T00:59:51.465819008,0.92,1.0
1360.0,790.9357,825.615,513.26154,4106.0923,136810.14,273628.88,2025-01-02T01:00:20.665634944,2025-01-02T01:09:51.467708032,0.88,1.0
1468.0,747.8497,1118.812,671.016,4026.0957,54176.785,325119.22,2025-01-02T01:10:20.665574016,2025-01-02T01:19:51.470726016,0.89,1.0
1189.0,1163.3228,1747.2666,1181.6766,3545.0298,59741.79,181524.4,2025-01-02T01:20:20.667291008,2025-01-02T01:29:51.476312064,0.9,1.0
1045.0,808.26654,1028.9008,553.82904,2769.1453,72250.53,291568.62,2025-01-02T01:30:20.667200000,2025-01-02T01:39:51.470589056,0.93,1.0
1040.0,878.67126,945.33844,822.9992,4114.996,45201.13,180767.97,2025-01-02T01:40:20.668930944,2025-01-02T01:49:51.471704064,0.95,1.0
832.0,785.73584,1002.1026,592.22394,3553.3433,73699.38,294739.6,2025-01-02T01:50:20.668877056,2025-01-02T01:59:51.478957056,0.93,1.0
946.0,964.95715,1146.0063,672.28467,3361.423,97110.7,194232.92,2025-01-02T02:00:20.668840960,2025-01-02T02:09:51.469975040,0.94,1.0
938.0,780.6467,1104.7834,868.487,3473.948,78244.53,234759.94,2025-01-02T02:10:20.670588928,2025-01-02T02:19:51.474408064,0.93,1.0
1084.0,675.4864,943.89374,216.63213,649.8964,214837.45,429676.7,2025-01-02T02:20:20.670510080,2025-01-02T02:29:51.479398016,0.91,1.0
1247.0,421.62784,437.02148,68.96422,206.89265,345557.84,691098.0,2025-01-02T02:30:20.670441984,2025-01-02T02:39:51.473960960,0.91,1.0
1356.0,559.5277,606.2656,26.539818,132.6991,14577.898,29160.059,2025-01-02T02:40:20.672189056,2025-01-02T02:49:51.476397952,0.92,1.0
1243.0,691.22723,710.2846,29.926413,179.55847,4920.644,16512.52,2025-01-02T02:50:20.672144000,2025-01-02T02:59:51.476171008,0.93,1.0
960.0,565.7752,721.10736,38.698,77.396,105637.016,211307.31,2025-01-02T03:00:20.672107008,2025-01-02T03:09:51.477661056,0.93,1.0
913.0,407.5734,407.5734,27.154726,54.309452,226044.75,226028.17,2025-01-02T03:10:20.673878016,2025-01-02T03:19:51.481809024,0.91,1.0
1044.0,456.8541,503.3211,27.804657,139.02328,119513.41,238992.23,2025-01-02T03:20:20.673848064,2025-01-02T03:29:51.474027008,0.91,1.0
997.0,439.8738,475.49255,38.982224,155.9289,129174.45,387514.8,2025-01-02T03:30:20.673817088,2025-01-02T03:39:51.476811008,0.93,1.0
731.0,549.19995,750.37946,53.824768,161.47432,114360.0,343365.3,2025-01-02T03:40:20.675587968,2025-01-02T03:49:51.478966016,0.94,1.0
664.0,646.046,820.0035,681.75336,4772.2734,145097.12,870524.4,2025-01-02T03:50:20.675549952,2025-01-02T03:59:51.479168000,0.95,1.0
624.0,733.20703,800.2877,825.6941,4128.47,95388.81,381514.12,2025-01-02T04:00:20.677309056,2025-01-02T04:09:51.487661056,0.94,1.0
620.0,647.22406,789.3819,390.80878,3126.4702,70474.1,563684.6,2025-01-02T04:10:20.677257984,2025-01-02T04:19:51.478662016,0.91,1.0
704.0,620.448,719.32336,81.38048,244.14143,67487.97,134960.36,2025-01-02T04:20:20.677198976,2025-01-02T04:29:51.483515008,0.91,1.0
805.0,577.9548,645.9209,57.049557,228.19824,34464.387,103409.016,2025-01-02T04:30:20.678931968,2025-01-02T04:39:51.479724032,0.91,1.0
761.0,792.7524,1137.6982,554.19556,4433.5645,111649.85,673315.06,2025-01-02T04:40:20.678851968,2025-01-02T04:49:51.483559040,0.92,1.0
